deviceID,seconds,beaconID,rssi
03,19770,bcn3-1,-65
03,19800,bcn3-1,-72
03,19830,bcn3-1,-69
03,19860,bcn3-1,-61
03,19890,bcn3-1,-67
03,19920,bcn3-1,-64
03,19950,bcn3-1,-64
03,19980,bcn3-1,-63
03,20010,bcn3-3,-69
03,20040,bcn3-8,-71
03,20070,bcn3-3,-85
03,20100,bcn3-1,-58
03,20130,bcn3-2,-73
03,20160,bcn3-1,-58
03,20190,bcn3-3,-64
03,20220,bcn3-2,-61
03,20250,bcn3-2,-70
03,20280,bcn3-1,-60
03,20310,bcn3-1,-58
03,20340,bcn3-1,-62
03,20370,bcn3-1,-66
03,20400,bcn3-2,-69
03,20430,bcn3-2,-62
03,20460,bcn3-1,-64
03,20490,bcn3-1,-59
03,20520,bcn3-1,-57
03,20550,bcn3-1,-56
03,20580,bcn3-1,-57
03,20610,bcn3-1,-52
03,20640,bcn3-1,-65
03,20670,bcn3-1,-61
03,20700,bcn3-1,-61
03,20730,bcn3-1,-67
03,20760,bcn3-1,-70
03,20790,bcn3-2,-67
03,20820,bcn3-1,-62
03,20850,bcn3-3,-73
03,20880,bcn3-1,-59
03,20910,bcn3-1,-68
03,20940,bcn3-1,-60
03,20970,bcn3-2,-65
03,21000,bcn3-1,-59
03,21030,bcn3-1,-62
03,21060,bcn3-1,-66
03,21090,bcn3-1,-58
03,21120,bcn3-1,-66
03,21150,bcn3-1,-61
03,21180,bcn3-1,-59
03,21210,bcn3-1,-59
03,21240,bcn3-1,-59
03,21270,bcn3-1,-59
03,21300,bcn3-1,-62
03,21330,bcn3-2,-74
03,21360,bcn3-1,-62
03,21390,bcn3-1,-63
03,21420,bcn3-1,-63
03,21450,bcn3-1,-59
03,21480,bcn3-1,-58
03,21510,bcn3-1,-58
03,21540,bcn3-1,-62
03,21570,bcn3-1,-61
03,21600,bcn3-1,-60
03,21630,bcn3-1,-61
03,21660,bcn3-1,-64
03,21690,bcn3-2,-64
03,21720,bcn3-2,-68
03,21750,bcn3-1,-58
03,21780,bcn3-1,-75
03,21810,bcn3-2,-63
03,21840,bcn3-1,-62
03,21870,bcn3-2,-59
03,21900,bcn3-2,-78
03,21930,bcn3-3,-79
03,21960,bcn3-8,-78
03,21990,bcn3-8,-61
03,22020,bcn3-1,-61
03,22050,bcn3-1,-62
03,22080,bcn3-1,-62
03,22110,bcn3-1,-72
03,22140,bcn3-1,-63
03,22170,bcn3-2,-63
03,22200,bcn3-2,-63
03,22230,bcn3-1,-68
03,22260,bcn3-1,-69
03,22290,bcn3-1,-65
03,22320,bcn3-1,-64
03,22350,bcn3-2,-63
03,22380,bcn3-1,-70
03,22410,bcn3-1,-61
03,22440,bcn3-1,-66
03,22470,bcn3-1,-66
03,22500,bcn3-1,-66
03,22530,bcn3-1,-63
03,22560,bcn3-2,-70
03,22590,bcn3-2,-63
03,22620,bcn3-1,-63
03,22650,bcn3-1,-69
03,22680,bcn3-3,-77
03,22710,bcn3-2,-63
03,22740,bcn3-3,-73
03,22770,bcn3-1,-67
03,22800,bcn3-2,-68
03,22830,bcn3-2,-67
03,22860,bcn3-2,-65
03,22890,bcn3-2,-62
03,22920,bcn3-2,-69
03,22950,bcn3-2,-67
03,22980,bcn3-2,-66
03,23010,bcn3-2,-73
03,23040,bcn3-2,-71
03,23070,bcn3-1,-70
03,23100,bcn3-1,-71
03,23130,bcn3-2,-59
03,23160,bcn3-2,-66
03,23190,bcn3-3,-63
03,23220,bcn3-2,-60
03,23250,bcn3-3,-65
03,23280,bcn3-3,-61
03,23310,bcn3-2,-61
03,23340,bcn3-2,-60
03,23370,bcn3-2,-66
03,23400,bcn3-2,-63
03,23430,bcn3-2,-65
03,23460,bcn3-2,-66
03,23490,bcn3-1,-65
03,23520,bcn3-1,-74
03,23550,bcn3-2,-65
03,23580,bcn3-2,-67
03,23610,bcn3-3,-72
03,23640,bcn3-2,-64
03,23670,bcn3-1,-58
03,23700,bcn3-5,-68
03,23730,bcn3-5,-68
03,23760,bcn3-8,-65
03,23790,bcn3-8,-79
03,23820,bcn3-8,-63
03,23850,bcn3-8,-63
03,23880,bcn3-8,-62
03,23910,bcn3-8,-74
03,23940,bcn3-5,-69
03,23970,bcn3-5,-77
03,24000,bcn3-2,-77
03,24030,bcn3-2,-72
03,24060,bcn3-2,-68
03,24090,bcn3-3,-65
03,24120,bcn3-2,-66
03,24150,bcn3-2,-61
03,24180,bcn3-2,-67
03,24210,bcn3-2,-74
03,24240,bcn3-2,-64
03,24270,bcn3-2,-59
03,24300,bcn3-2,-62
03,24330,bcn3-1,-71
03,24360,bcn3-1,-59
03,24390,bcn3-1,-71
03,24420,bcn3-2,-62
03,24450,bcn3-2,-65
03,24480,bcn3-2,-60
03,24510,bcn3-2,-63
03,24540,bcn3-2,-66
